-------------------------------------
|Feldname     |Von       |Bis       |
|-----------------------------------|
|Buchungsdatum|01.01.2022|31.12.2022|
|Geschäftsjahr|2022      |          |
|Kostenart    |ITC-IT    |          |
|Kostenstelle |10        |          |
|Periode von  |1         |16        |
|Version      |0         |          |
|Werttyp      |4         |          |
|Werttyp      |11        |          |
-------------------------------------
Anzeigevariante           ITC02      IT-Controlling Standard
Kostenstelle              131203...  Oellerich/ZN 2797...
K.Währung                 EUR        Euro

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Jahr|Kostenstelle      |Kostenart          |Kostenartenbezeichn.    |Buchungsdatum  |              Wert/KWähr|Bezeichnung                                                                                                |Bestelltext                                                                                                   |Objektbezeichnung   |Partner-Kstl         |Einkaufsbeleg    |Konto Gegenbuchung      |RefBelegnr|
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|2022   |739828521         |691050             |Anwendersoftware        |21.01.2022     |                 345,10 |Wächterkontrollsystem                                                                                      |                                                                                                              |UNI Sicherheitsdien.|                     |                 |203205                  |12200050  |
|2022   |739828521         |691050             |Anwendersoftware        |21.02.2022     |                 345,10 |Wächterkontrollsystem                                                                                      |                                                                                                              |UNI Sicherheitsdien.|                     |                 |203205                  |12200208  |
|2022   |739828520         |691050             |Anwendersoftware        |21.01.2022     |                  34,51 |Wächterkontrollsystem                                                                                      |                                                                                                              |MPS                 |                     |                 |203205                  |12200050  |
|2022   |739828520         |691050             |Anwendersoftware        |21.02.2022     |                  34,51 |Wächterkontrollsystem                                                                                      |                                                                                                              |MPS                 |                     |                 |203205                  |12200208  |
|2022   |739828503         |691050             |Anwendersoftware        |21.01.2022     |                 241,57 |Wächterkontrollsystem                                                                                      |                                                                                                              |UMG Sicherheitsdien.|                     |                 |203205                  |12200050  |
|2022   |739828503         |691050             |Anwendersoftware        |21.02.2022     |                 241,57 |Wächterkontrollsystem                                                                                      |                                                                                                              |UMG Sicherheitsdien.|                     |                 |203205                  |12200208  |
|2022   |739821121         |691050             |Anwendersoftware        |21.01.2022     |                  17,85 |Anp. Impressung, Hinweisgeberportal Internetseite                                                          |                                                                                                              |Zentrale, Allg. Verw|                     |                 |203215                  |12200057  |
|2022   |739821121         |691050             |Anwendersoftware        |10.01.2022     |                 399,21 |Hosted Exchange 01/2022                                                                                    |                                                                                                              |Zentrale, Allg. Verw|                     |                 |203215                  |12200007  |
|2022   |739821121         |691050             |Anwendersoftware        |16.02.2022     |                 399,21 |Hosted Exchange 02/2022                                                                                    |                                                                                                              |Zentrale, Allg. Verw|                     |                 |203215                  |12200177  |
|2022   |739821121         |691050             |Anwendersoftware        |13.01.2022     |               2.634,66 |Softwaremiete DISPONIC I/2022                                                                              |                                                                                                              |Zentrale, Allg. Verw|                     |                 |203190                  |12200019  |
|2022   |739821121         |691050             |Anwendersoftware        |27.01.2022     |               1.545,96 |Softwarepflege sage 02/2022-01/2023                                                                        |                                                                                                              |Zentrale, Allg. Verw|                     |                 |203295                  |12200099  |
|2022   |309890410         |691050             |Anwendersoftware        |31.01.2022     |               1.533,98 |Teilzahlung zu Pos 30+40                                                                                   |Teilzahlung zu Pos 30+40                                                                                      |UMG GASTRO LTG/VERW.|                     |4501722272       |328000                  |5000142451|
|2022   |9958147           |691050             |Anwendersoftware        |31.01.2022     |                 299,88 |014502037 SPSS Statistics Premium Edition - 5 Stk                                                          |                                                                                                              |KLIN.PHARM.F+L      |                     |                 |101193                  |12200607  |
|2022   |9958142           |691050             |Anwendersoftware        |18.02.2022     |               9.611,39 |Dienstleistung ix-serv                                                                                     |Dienstleistung ix-serv                                                                                        |PATH F+L Ströbel    |                     |4501641974       |110284                  |512010531 |
|2022   |9958128           |691050             |Anwendersoftware        |31.01.2022     |                 119,95 |SPSS Statistics Premium Edition                                                                            |                                                                                                              |Gesch.Med Schicktanz|                     |                 |101193                  |12200984  |
|2022   |9958094           |691050             |Anwendersoftware        |31.01.2022     |                 899,64 |014502037 SPSS Statistics Premium Edition                                                                  |                                                                                                              |ALLG.MEDI F+L II    |                     |                 |101193                  |12200524  |
|2022   |9958094           |691050             |Anwendersoftware        |01.01.2022     |                   3,85 |wint.global (Müller), Beleg 12112841, 08/21-07/22                                                          |                                                                                                              |ALLG.MEDI F+L II    |                     |                 |171000                  |83055741  |
|2022   |9958088           |691050             |Anwendersoftware        |12.01.2022     |               2.491,86 |01-12.22, PathoZoom® SlideCloud, Lizenz                                                                    |                                                                                                              |KLIN.CHEM.F+L       |                     |                 |122809                  |12200047  |
