Date;Num;Name;Text;Account;Amount
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;1220
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;23263,08
01.02.2021;532130;ADMINISTRATIVE EXPENSE;RENT OF OTHER BUILDING SPACE;GENERAL FUND;571,9
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;1095,26
01.02.2021;533130;ADMINISTRATIVE EXPENSE;MTCE-REP.-TEL.EQUIP-VENDOR;GENERAL FUND;312
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;45
01.02.2021;515540;PERSONAL SERVICES;OTHER PROF, SC. & TECH.SVC;GENERAL FUND;23792,58
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;25974,54
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;9104,79
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;2134,46
01.02.2021;543140;PROP,FURN,EQUIP & RELATED DEBT;LEASE PURCHASE-LAND,BUILDINGS;GENERAL FUND;88199,3
01.02.2021;515410;PERSONAL SERVICES;HR-EXEC. SEARCH CONSULTING SVC;GENERAL FUND;53,46
01.02.2021;515560;PERSONAL SERVICES;OFFICE ADMINISTRATIVE SERVICES;GENERAL FUND;84
01.02.2021;531230;ADMINISTRATIVE EXPENSE;ERP SYSTEM SERVICES;GENERAL FUND;60,5
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;668,47
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;880
01.02.2021;531230;ADMINISTRATIVE EXPENSE;ERP SYSTEM SERVICES;GENERAL FUND;39
01.02.2021;533120;ADMINISTRATIVE EXPENSE;MTCE-REP.-EQUIPMENT-VENDORS;GENERAL FUND;10455,74
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;3099,55
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;1020
01.02.2021;515610;PERSONAL SERVICES;BUSINESS SERVICE CENTERS;GENERAL FUND;55,98
01.02.2021;531230;ADMINISTRATIVE EXPENSE;ERP SYSTEM SERVICES;GENERAL FUND;44700
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;2286,45
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;159,93
01.02.2021;533140;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP-VENDOR;GENERAL FUND;186,87
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;212,51
01.02.2021;515440;PERSONAL SERVICES;OTHER MGMT CONSULTING SERVICES;GENERAL FUND;1718,75
01.02.2021;515460;PERSONAL SERVICES;OTHER SCIENTIFIC-TECH.CONS.SVC;GENERAL FUND;6612,93
01.02.2021;515540;PERSONAL SERVICES;OTHER PROF, SC. & TECH.SVC;GENERAL FUND;420
01.02.2021;515610;PERSONAL SERVICES;BUSINESS SERVICE CENTERS;GENERAL FUND;824,16
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;11870,08
01.02.2021;532130;ADMINISTRATIVE EXPENSE;RENT OF OTHER BUILDING SPACE;GENERAL FUND;280,37
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;9205,51
01.02.2021;533140;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP-VENDOR;GENERAL FUND;26056,58
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;1076,7
01.02.2021;541110;PROP,FURN,EQUIP & RELATED DEBT;OFFICE FURNITURE & EQUIPMENT;GENERAL FUND;3444,6
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;1586,66
01.02.2021;532130;ADMINISTRATIVE EXPENSE;RENT OF OTHER BUILDING SPACE;GENERAL FUND;703,17
01.02.2021;515320;PERSONAL SERVICES;GRAPHIC DESIGN SERVICES;GENERAL FUND;240
01.02.2021;515540;PERSONAL SERVICES;OTHER PROF, SC. & TECH.SVC;GENERAL FUND;800
01.02.2021;515560;PERSONAL SERVICES;OFFICE ADMINISTRATIVE SERVICES;GENERAL FUND;3524
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;610
01.02.2021;531230;ADMINISTRATIVE EXPENSE;ERP SYSTEM SERVICES;GENERAL FUND;44687
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;960,26
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;45809
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;880
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;1293,5
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;121,59
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;1260
01.02.2021;515610;PERSONAL SERVICES;BUSINESS SERVICE CENTERS;GENERAL FUND;117,07
01.02.2021;531230;ADMINISTRATIVE EXPENSE;ERP SYSTEM SERVICES;GENERAL FUND;44700
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;458,33
01.02.2021;532130;ADMINISTRATIVE EXPENSE;RENT OF OTHER BUILDING SPACE;GENERAL FUND;50,61
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;182,14
01.02.2021;533140;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP-VENDOR;GENERAL FUND;96,18
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;850
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;500
01.02.2021;532130;ADMINISTRATIVE EXPENSE;RENT OF OTHER BUILDING SPACE;GENERAL FUND;1000
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;93,95
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;610
01.02.2021;531230;ADMINISTRATIVE EXPENSE;ERP SYSTEM SERVICES;GENERAL FUND;32,5
01.02.2021;531350;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-OTHER UTILITIES;GENERAL FUND;137,29
01.02.2021;531360;ADMINISTRATIVE EXPENSE;UTILITY CHARGE NATURAL GAS;GENERAL FUND;42,9
01.02.2021;531370;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-ELECTRICTIY;GENERAL FUND;373,81
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;1500
01.02.2021;533120;ADMINISTRATIVE EXPENSE;MTCE-REP.-EQUIPMENT-VENDORS;GENERAL FUND;1499,2
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;23
01.02.2021;515220;PERSONAL SERVICES;ARCHITECTURAL SERVICES;HIGHER EDUCATION COMPONENT UNITS;26140,2
01.02.2021;515540;PERSONAL SERVICES;OTHER PROF, SC. & TECH.SVC;HIGHER EDUCATION COMPONENT UNITS;23709,55
01.02.2021;531350;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-OTHER UTILITIES;HIGHER EDUCATION COMPONENT UNITS;30147,88
01.02.2021;531360;ADMINISTRATIVE EXPENSE;UTILITY CHARGE NATURAL GAS;HIGHER EDUCATION COMPONENT UNITS;8207
01.02.2021;531370;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-ELECTRICTIY;HIGHER EDUCATION COMPONENT UNITS;85700,2
01.02.2021;532130;ADMINISTRATIVE EXPENSE;RENT OF OTHER BUILDING SPACE;HIGHER EDUCATION COMPONENT UNITS;1595
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;HIGHER EDUCATION COMPONENT UNITS;19794,46
01.02.2021;533120;ADMINISTRATIVE EXPENSE;MTCE-REP.-EQUIPMENT-VENDORS;HIGHER EDUCATION COMPONENT UNITS;22502,37
01.02.2021;533130;ADMINISTRATIVE EXPENSE;MTCE-REP.-TEL.EQUIP-VENDOR;HIGHER EDUCATION COMPONENT UNITS;833,91
01.02.2021;533220;ADMINISTRATIVE EXPENSE;MTCE-REP.-NON-MV EQ. IN-HOUSE;HIGHER EDUCATION COMPONENT UNITS;13593,57
01.02.2021;533240;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP IN-HOUSE;HIGHER EDUCATION COMPONENT UNITS;17040,84
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);HIGHER EDUCATION COMPONENT UNITS;13333,18
01.02.2021;515220;PERSONAL SERVICES;ARCHITECTURAL SERVICES;GENERAL FUND;2447072,11
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;6950
01.02.2021;515610;PERSONAL SERVICES;BUSINESS SERVICE CENTERS;GENERAL FUND;14,28
01.02.2021;531360;ADMINISTRATIVE EXPENSE;UTILITY CHARGE NATURAL GAS;GENERAL FUND;193,79
01.02.2021;531370;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-ELECTRICTIY;GENERAL FUND;481,3
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;7334
01.02.2021;532130;ADMINISTRATIVE EXPENSE;RENT OF OTHER BUILDING SPACE;GENERAL FUND;7000
01.02.2021;541110;PROP,FURN,EQUIP & RELATED DEBT;OFFICE FURNITURE & EQUIPMENT;GENERAL FUND;356
01.02.2021;515400;PERSONAL SERVICES;ADMIN MGMT-GEN.MGMT CONSULTING;HIGHER EDUCATION COMPONENT UNITS;10125
01.02.2021;515540;PERSONAL SERVICES;OTHER PROF, SC. & TECH.SVC;HIGHER EDUCATION COMPONENT UNITS;3300
01.02.2021;531230;ADMINISTRATIVE EXPENSE;ERP SYSTEM SERVICES;HIGHER EDUCATION COMPONENT UNITS;1540
01.02.2021;531350;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-OTHER UTILITIES;HIGHER EDUCATION COMPONENT UNITS;4545,1
01.02.2021;531360;ADMINISTRATIVE EXPENSE;UTILITY CHARGE NATURAL GAS;HIGHER EDUCATION COMPONENT UNITS;1382,54
01.02.2021;531370;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-ELECTRICTIY;HIGHER EDUCATION COMPONENT UNITS;47331,14
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;HIGHER EDUCATION COMPONENT UNITS;12925
01.02.2021;533120;ADMINISTRATIVE EXPENSE;MTCE-REP.-EQUIPMENT-VENDORS;HIGHER EDUCATION COMPONENT UNITS;4626,89
01.02.2021;533130;ADMINISTRATIVE EXPENSE;MTCE-REP.-TEL.EQUIP-VENDOR;HIGHER EDUCATION COMPONENT UNITS;1654,94
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);HIGHER EDUCATION COMPONENT UNITS;12598,08
01.02.2021;541110;PROP,FURN,EQUIP & RELATED DEBT;OFFICE FURNITURE & EQUIPMENT;HIGHER EDUCATION COMPONENT UNITS;7308,18
01.02.2021;515400;PERSONAL SERVICES;ADMIN MGMT-GEN.MGMT CONSULTING;GENERAL FUND;67589,44
01.02.2021;515460;PERSONAL SERVICES;OTHER SCIENTIFIC-TECH.CONS.SVC;GENERAL FUND;2630
01.02.2021;515540;PERSONAL SERVICES;OTHER PROF, SC. & TECH.SVC;GENERAL FUND;228708,04
01.02.2021;515610;PERSONAL SERVICES;BUSINESS SERVICE CENTERS;GENERAL FUND;13,33
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;6101,66
01.02.2021;532130;ADMINISTRATIVE EXPENSE;RENT OF OTHER BUILDING SPACE;GENERAL FUND;422
01.02.2021;533120;ADMINISTRATIVE EXPENSE;MTCE-REP.-EQUIPMENT-VENDORS;GENERAL FUND;19,45
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;344,85
01.02.2021;561250;TRANSFERS & OTHER DISBURSMNTS;OCAST PROGRAM AWARD PAYMENTS;GENERAL FUND;654758,39
01.02.2021;515540;PERSONAL SERVICES;OTHER PROF, SC. & TECH.SVC;GENERAL FUND;13000
01.02.2021;515560;PERSONAL SERVICES;OFFICE ADMINISTRATIVE SERVICES;GENERAL FUND;2136
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;96,48
01.02.2021;531360;ADMINISTRATIVE EXPENSE;UTILITY CHARGE NATURAL GAS;GENERAL FUND;180152,16
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;41639
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;6090
01.02.2021;533120;ADMINISTRATIVE EXPENSE;MTCE-REP.-EQUIPMENT-VENDORS;GENERAL FUND;6
01.02.2021;533130;ADMINISTRATIVE EXPENSE;MTCE-REP.-TEL.EQUIP-VENDOR;GENERAL FUND;1293,22
01.02.2021;533140;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP-VENDOR;GENERAL FUND;6802,94
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;85,44
01.02.2021;515560;PERSONAL SERVICES;OFFICE ADMINISTRATIVE SERVICES;GENERAL FUND;25
01.02.2021;515580;PERSONAL SERVICES;BUSINESS SUPPORT SERVICES;GENERAL FUND;3440
01.02.2021;531230;ADMINISTRATIVE EXPENSE;ERP SYSTEM SERVICES;GENERAL FUND;253,5
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;10894,09
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;1952
01.02.2021;536140;ADMINISTRATIVE EXPENSE;OFFICE SUPPLIES (EXPENDABLE);GENERAL FUND;536,83
01.02.2021;515320;PERSONAL SERVICES;GRAPHIC DESIGN SERVICES;GENERAL FUND;2500
01.02.2021;532110;ADMINISTRATIVE EXPENSE;RENT OF OFFICE SPACE;GENERAL FUND;6667,88
01.02.2021;532160;ADMINISTRATIVE EXPENSE;RENT-ELEC DATA PROCESSING EQ.;GENERAL FUND;1064,31
01.02.2021;533140;ADMINISTRATIVE EXPENSE;MTCE-REP.-DP EQUIP-VENDOR;GENERAL FUND;116,06
01.02.2021;531350;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-OTHER UTILITIES;HIGHER EDUCATION COMPONENT UNITS;975,13
01.02.2021;531360;ADMINISTRATIVE EXPENSE;UTILITY CHARGE NATURAL GAS;HIGHER EDUCATION COMPONENT UNITS;1811,43
01.02.2021;531370;ADMINISTRATIVE EXPENSE;UTILITY CHARGE-ELECTRICTIY;HIGHER EDUCATION COMPONENT UNITS;39622,04
01.02.2021;533120;ADMINISTRATIVE EXPENSE;MTCE-REP.-EQUIPMENT-VENDORS;HIGHER EDUCATION COMPONENT UNITS;483,6
